Name	Time signature	Feel	Default tempo	Long name	Genre	Group	Other genres
J_HERBIE	4/4	sw8	135	Herbie H Comping	Jazz	Jazz	Bebop,Jazz Swing
J_HERBIS	4/4	sw8	210	Jazz Swing Trio	Jazz	Jazz	Jazz Swing
J!~HOAGY	4/4	sw8	95	Vintage Jazz - Hoagy 30s & 40s Swing	Jazz	Jazz	Jazz
J!~HONEY	4/4	sw8	160	Jazz - Honey Solo Stride Piano	Jazz	Jazz	Jazz Swing
j!~htclb	4/4	sw8	230	Vintage Jazz - Hot Club 30s & 40s Swing	Jazz	Jazz	Jazz
JITERBUG	4/4	sw8	215	Jitterbug Fast Blues Shuffle	Blues	Pop	Jazz
JITRBUG2	4/4	sw8	215	Jitterbug Fast Blues Shuffle Variant	Blues	Pop	Jazz
Jive4	4/4	sw8	180	Jive4 - Spirited Uptempo Swing Dance	Jazz	Jazz	Jazz
JJess	4/4	sw16	120	J Jess - Swing 16 Bluegrass	Country	Country	Bluegrass
J~LAURA	4/4	sw8	65	Laura - Ballad w/ Brushes	Jazz	Jazz	Jazz Ballad,Jazz Swing
J~~LAURA	4/4	sw8	65	J~~LAURA.STY	Jazz	Jazz	Jazz
J_LIGHT	4/4	sw8	140	Light Jazz Feel	Jazz	Jazz	Jazz Ballad,Jazz Swing
J~LIONEL	4/4	sw8	75	Lionel - (Brushes) 40s Swing Ballad	Jazz	Jazz	Jazz Ballad,Jazz Swing
J_LIONEL	4/4	sw8	75	Lionel - Slow 40s Jazz Swing	Jazz	Jazz	Jazz Ballad,Jazz Swing
J_L_MAYS	4/4	ev16	120	L Mays, Pop-Jazz Pad Style	Jazz	Jazz	Fusion
j!lush	4/4	ev8	100	Vintage Jazz - Lush 50s Straight 8 MOR w/ Strings	Jazz	Jazz	Jazz
j!lush2	4/4	ev8	100	Vintage Jazz - Lush 50s Straight 8 MOR Rhythm Section	Jazz	Jazz	Jazz
J!MANCN2	4/4	sw8	80	Jazz-Mancni2 - Slow Pop Ballad Variant	Ballad	Jazz	Ballad
J!MANCNI	4/4	sw8	80	Jazz-Mancni2 - Slow Pop Ballad	Ballad	Jazz	Ballad
J_MDFAST	4/4	sw8	300	Miles D Fast Jazz Style	Jazz	Jazz	Bebop
J_MILES1	4/4	sw8	160	Miles 1 (50s) Jazz Style	Jazz	Jazz	Bebop,Jazz Swing
J_MISTY	4/4	sw8	70	Misty, Slow Ballad Style	Jazz	Jazz	Jazz Ballad,Jazz Swing
J_MJQ_1	4/4	sw8	140	Jazz MJQ_1 - Medium Jazz Swing	Jazz	Jazz	Bebop,Jazz Swing
J_MODTRI	4/4	sw8	190	Jazz Modern Trio Style	Jazz	Jazz	Bebop
J~MONTY	4/4	sw8	210	Monty Trio Style	Jazz	Jazz	Bebop,Jazz Swing
j!nat	4/4	sw8	175	Vintage Jazz - Nat Piano Trio	Jazz	Jazz	Jazz
j!~nat2	4/4	sw8	190	Vintage Jazz - Nat Cole 40s Swing	Jazz	Jazz	Jazz
J!~NIGHT	4/4	sw8	75	Vintage Jazz - Night - Very Slow Ballad	Jazz	Jazz	Jazz
j!n_orl	4/4	sw8	185	Vintage Jazz - New Orleans Swing & Straight Mix	Blues	Jazz	New Orleans,New Orleans
j!n_orl2	4/4	sw8	185	Vintage Jazz - New Orleans Swing & Straight Mix Variant	Blues	Jazz	New Orleans
Jode2+	4/4	ev16	94	Contemporary Country R&B+	Country	Country	Country Ballad,Country Contemporary,R&B,R&B
JOEPSLOW	4/4	sw8	85	Joe P Slow - Jazz Guitar Ballad Comp	Jazz	Jazz	Jazz Ballad
John+	4/4	ev16	100	Medium Tempo Crossover Groove+	Country	Country	Country Contemporary
JOHNBAL	4/4	ev8	75	JohnBal - Slow Ev.8ths Pop Rock	Lite Pop	Pop	Pop
JOHNLEN	4/4	ev8	75	Piano Based Pop Ballad	Lite Pop	Pop	Ballad
JOHNNYH	4/4	ev8	155	Johnny H - 60s Pop-Country	Country	Country	Country Classic
Joice1	4/4	ev8	130	Joice1 - Soft Jazz Contemporary Bossa	Jazz	Jazz	Latin,Bossa
J~OLEO	4/4	sw8	200	Oleo Bop w/ Brushes Style	Jazz	Jazz	Bebop
JONLEE	4/4	sw8	95	Jon Lee Slow Blues Shuffle	Blues	Pop	Blues
JonLuce1	4/4	ev8	160	Jon Luce 1 - Uptempo Bossa-Samba	Jazz	Jazz	Latin,Bossa,Latin,Samba
JOPLIN	4/4	ev8	180	Scott Joplin Style	Classical	Country	Jazz,Ragtime
JOPLNORK	4/4	ev8	165	Joplin LH 4/4 w/ Orchestra	Classical	Country	Jazz,Ragtime
Joyous1	4/4	ev8	165	Joyous1 - Upbeat Soundtrack Style	Lite Pop	Pop	New Age
J_PNO&BS	4/4	sw8	100	Piano & Bass Only	Jazz	Jazz	Jazz Swing
JS051	4/4	ev8	110	JS051.STY	Pop	Pop	Pop
J!SATCH	12/8	sw8	80	Vintage Jazz - Satch Slow 12/8 Pop	Jazz	Jazz	Jazz
j~SaxSec	4/4	sw8	130	Jazz Sax Section - For Big Band	Jazz	Jazz	Big Band,Jazz Swing
J_SILVER	4/4	sw8	170	Vintage Jazz - Silver Swing Piano Trio	Jazz	Jazz	Jazz Swing
J!~SKY	4/4	sw8	145	Vintage Jazz - Sky - 30s & 40s Bounce	Jazz	Jazz	Jazz
j!~sky2	4/4	sw8	145	Vintage Jazz - Sky - 30s & 40s Bounce Variant	Jazz	Jazz	Jazz
J_SLBAL1	4/4	sw8	65	Jazz Slow Ballad 1	Jazz	Jazz	Jazz Ballad,Jazz Swing
J_SloBal	4/4	sw8	85	Slow Swing Ballad	Jazz	Jazz	Jazz Ballad,Jazz Swing
J~SONICE	4/4	sw8	200	So Nice, Jazz-Bop w/ Brushes Style	Jazz	Jazz	Bebop
J_STRIPR	4/4	sw8	100	Vintage Jazz - Stripper - Raucus Club Swing	Jazz	Jazz	Jazz Swing
J~TEDY	4/4	sw8	190	Vintage Jazz - Teddy Stride Piano Trio	Jazz	Jazz	Jazz Swing
J!~TEDY2	4/4	sw8	190	Vintage Jazz - Teddy Piano Quartet	Jazz	Jazz	Jazz
JTLatin	4/4	ev8	110	J. Taylor Latin - Unplugged	Folk	Pop	Latin,Lite Pop
J!TRAD	4/4	sw8	170	Vintage Jazz - Traditional Band	Jazz	Jazz	Jazz
J~TRIO	4/4	sw8	180	Jazz Trio - Swing Style w/ Brushes	Jazz	Jazz	Bebop,Jazz Swing
JugBand	4/4	sw16	100	Jug Band - Unplugged	Country	Country	Folk
JugTime	4/4	ev8	110	Jug Time - Bluegrass Style	Blues	Country	Country,Bluegrass
JUMPIN	4/4	ev8	140	Jumpin - Even 8ths, Med-Fast 80s Rock	Heavy Rock	Pop	Heavy Rock
JUSTIN1	4/4	ev16	75	Justin 1 - Slow 16th Pop R&B	Hip Hop	Pop	R&B,Modern Pop,Modern Pop,R&B
J_WESGRV	4/4	sw8	110	Wes Groove Style	Jazz	Jazz	Jazz Swing
J_WYNT_2	4/4	sw8	165	Wynton K 2	Jazz	Jazz	Bebop
J_WYNT_G	4/4	sw8	165	Jazz Swing Quartet	Jazz	Jazz	Jazz Swing
J_WYNT_K	4/4	sw8	165	Wynton K (Chord Embellishment)	Jazz	Jazz	Bebop
JYDA	4/4	ev16	110	Jyda - Cool Smooth Jazz	Jazz	Jazz	Smooth Jazz,Smooth Jazz
Jz8_290	4/4	ev8	290	Jazz Ev.8 at T=290 - Fast Jazz	Jazz	Jazz	Fusion
JzClypso	4/4	sw8	200	Jazz Calypso - Loose Jazz Calypso Feel	Jazz	Jazz	Latin
KARMA	4/4	ev16	75	Karma - New Age Smooth Jazz	Jazz	Jazz	Fusion,Smooth Jazz,New Age,Lite Pop,Smooth Jazz
KeefR	4/4	ev8	130	Keef R - Rock Style	Heavy Rock	Pop	Heavy Rock
KeepOn1	4/4	ev8	135	Keep On 1 - Basic Southern Blues Rockin'	Blues	Pop	Blues
KeithBal	4/4	sw8	55	Keith Ballad - Piano Trio Ballad	Jazz	Jazz	Jazz Ballad
KeithFst	4/4	sw8	300	Keith Fast - Modern Jazz Piano Trio	Jazz	Jazz	Bebop
KeithMed	4/4	sw8	130	Keith Medium - 4/4 Modern Jazz Trio Style	Jazz	Jazz	Bebop
KeithTri	4/4	sw8	205	Keith Trio - Modern 4/4 Jazz Trio	Jazz	Jazz	Bebop
Kelly1	4/4	ev8	130	Kelly 1 - Contemporary Rock Pop	Heavy Rock	Pop	Heavy Rock
KGBALLAD	4/4	ev16	60	KG Ballad - Smooth Jazz - Very Slow	Jazz	Jazz	Smooth Jazz,Lite Pop,Smooth Jazz
KILARNEY	12/8	sw8	110	Irish-Shotiche 12/8 Style	World	Country	World
KINGDOM	4/4	ev16	85	Kingdom - Praise & Worship Style	Folk	Pop	Worship,Lite Pop,Lite Pop,Worship,Lite Pop
KINGSMEN	4/4	ev8	125	Kingsmen - Funk Straight 8ths Southern Gospel	Country	Country	Gospel,Worship,Lite Pop,Gospel
KLADRMAN	4/4	ev16	80	Kladerman Piano Style	Classical	Pop	Country,Folk,New Age,Lite Pop,Lite Pop
KLEZMER1	4/4	ev16	150	Klezmer Style 1	World	Country	Klezmer
KLEZMER2	4/4	ev8	190	Klezmer Style 2	World	Country	Klezmer
Kneelin	4/4	ev8	124	Kneelin - LA Pop Jazz	Jazz	Jazz	Fusion,Lite Pop
Krupa_4s	4/4	sw8	210	40s Jazz Swing - Trading Fours	Jazz	Jazz	Jazz Swing
Krupa4s2	4/4	sw8	210	40s Jazz Swing - Trading Fours Variant	Jazz	Jazz	Jazz Swing
L_32SAMB	4/4	ev8	165	Samba in 3-2 Clave	Latin	Jazz	Samba
L_50CHA	4/4	ev8	130	50's Cha-Cha (Salsa)	Latin	Jazz	Latin
LADIES1	4/4	ev16	95	Ladies 1 - Medium Acoustic Pop Rock	Folk	Pop	Lite Pop
L_AFRO	4/4	ev8	120	Afro Salsa Rhythm	Latin	Jazz	Latin
LaJolla	4/4	sw8	132	La Jolla - LA Pop Jazz	Blues	Pop	Jazz,Fusion
Lambada2	4/4	ev16	115	Lambada2 - Latin Brazilian Lambada	Latin	Jazz	Latin
LA_PBAL	12/8	sw8	90	LA Pop Ballad	Lite Pop	Pop	Lite Pop
LaPlaya	4/4	ev16	140	LaPlaya - Fast Even 16th - Latin	Latin	Jazz	Latin
LA_POP_G	4/4	ev8	120	LA Medium Pop/Rock	Lite Pop	Pop	Lite Pop
L_ARRIBA	4/4	ev8	245	Arriba, Latin Salsa	Latin	Jazz	Latin
LARRY	4/4	sw8	140	Larry Shuffle Style	Blues	Jazz	Blues
Latina1	4/4	ev8	120	Latina1 - Med-Slow Bossa	Latin	Jazz	Bossa
LATJZ_LH	4/4	sw8	180	Latin Jazz LH (Left-Hand Comp)	Funk	Jazz	Jazz,Latin
LATNFOLK	4/4	ev8	120	Latin Folk - Latin-Flavored Folk	Folk	Country	Latin
LATNROK2	4/4	ev16	120	Latin Rock 2	Latin	Jazz	Lite Pop
LatPop1	4/4	ev16	120	Latin Pop 1 - Rock On	Latin	Pop	Modern Pop,Disco
LatPop2	4/4	ev16	100	Latin Pop 2 - Even 16ths Rock	Latin	Pop	Lite Pop
Lazy_Riv	4/4	sw8	140	Lazy_Riv - 2-Beat Swing 8ths Rhythm Guitar	Jazz	Jazz	Jazz Swing
L_BATUCD	4/4	ev8	150	Batucada (Brazilian)	Latin	Jazz	Latin
L~Beguin	4/4	ev8	150	Latin Beguine w/ Brushes	Jazz	Jazz	Latin
L_Beguin	4/4	ev8	150	Latin Beguine	Jazz	Jazz	Latin
L_Bolero	4/4	ev16	105	L_Bolero - Latin Bolero	Latin	Jazz	Latin
L_BOMBA	4/4	ev16	115	Bomba (Salsa)	Latin	Jazz	Latin
L~BosBrz	4/4	ev8	140	Bossa Brazil	Jazz	Jazz	Latin,Bossa
L_BosBrz	4/4	ev8	130	Bossa Brazil	Jazz	Jazz	Latin,Bossa
L_Bos_ez	4/4	ev8	120	Bossa Easy	Jazz	Jazz	Latin,Bossa
L~Bos_EZ	4/4	ev8	120	Bossa Easy	Jazz	Jazz	Latin,Bossa
L_BOS_MC	4/4	ev8	180	McCoy Bossa	Jazz	Jazz	Latin,Bossa
L_BOSMED	4/4	ev8	145	Medium Smooth Bossa	Jazz	Jazz	Latin,Bossa,Smooth Jazz
L_BOSPAR	4/4	ev8	185	Bossa-Partido Alto (Brazilian)	Jazz	Jazz	Latin,Bossa
L_BOSROK	4/4	ev8	140	Bossa Rock	Jazz	Jazz	Latin,Lite Pop,Bossa
L_CANCAO	4/4	ev8	85	Latin Cancao - Brazil Pop Bossa	Jazz	Jazz	Jazz Ballad,Latin,Lite Pop,Bossa
L!C_CRUZ	4/4	ev16	120	Latin - C Cruz - Salsa ala Celia	Latin	Jazz	Latin
L_CHANEW	4/4	ev8	120	Cha Cha New, Latin	Latin	Jazz	Lite Pop
L_CHURRO	4/4	ev16	275	Churro -  Mexican Samba	Latin	Jazz	Samba
L_CONGA	4/4	ev16	120	Conga (Salsa)	Latin	Jazz	Latin
L_Cubano	4/4	ev16	130	Latin Cubano - Latin Cuban Salsa	Latin	Jazz	Latin
L_CUMBIA	4/4	ev8	210	Cumbia (Salsa)	Latin	Jazz	Latin
LEANDER	4/4	ev16	80	Leander - Slow Pop 16ths	Lite Pop	Pop	Pop
LeClik	4/4	ev16	135	LeClik Euro-Tek	Modern Pop	Pop	Modern Pop
LEE_RIT	4/4	ev16	130	Lee Rit Style	Jazz	Jazz	Fusion
L!ELNINO	4/4	ev8	100	Latin - El Nino - Med-Slow Cumbia	Jazz	Jazz	Jazz
Letters	4/4	ev8	142	Letters - Brit 80s Ev.8 Reggae	Reggae	Pop	Heavy Rock
LEVLFUNK	4/4	ev16	120	Level 42 Funk	Funk	Pop	Funk
L_FIESTA	4/4	ev8	265	Fiesta - Latin New Samba	Latin	Jazz	Samba
L_GUARCH	4/4	ev8	190	Guaracha (Salsa)	Latin	Jazz	Latin
L_HAVANA	4/4	ev8	145	Havana - Latin Cuban Mambo	Latin	Jazz	Latin
LilFoot1	4/4	ev8	144	LilFoot1 - Funky Southern Gumbo Rock	Blues	Pop	Country,Gospel,Funk,Worship,Lite Pop
LilFoot2	4/4	ev8	103	LilFoot2 - Gospel Blues Southern Funk	Blues	Pop	Country,Gospel,Funk,Worship,Lite Pop,Gospel
Lilith1	4/4	ev16	85	Lilith 1 - Folky Pop Rock	Lite Pop	Pop	Pop,Folk
Lindy1	4/4	sw8	200	Lindy1 - Lindy Hop Uptempo Swing	Blues	Jazz	Jazz,Jazz Swing,Jazz
LITEROK2	4/4	ev8	120	Light Rock 2	Lite Pop	Pop	Lite Pop
LITROK_G	4/4	ev16	100	Light Rock Style - Variation	Lite Pop	Pop	Lite Pop
L_JAZCHA	4/4	ev8	145	Jazz Cha Cha (Salsa)	Jazz	Jazz	Latin,Latin
LJ_Cha	4/4	ev8	135	Latin Jazz Cha Cha	Latin	Jazz	Salsa
L~JOBIM1	4/4	ev8	140	Jobim1, Latin Bossa	Jazz	Jazz	Latin,Bossa
L~JOBIM2	4/4	ev8	130	Medium Bossa	Jazz	Jazz	Latin,Bossa
L_MACARO	4/4	ev16	100	Macaro - Latin Dance Craze	Latin	Jazz	Latin
L_MAMBO6	4/4	ev8	175	Latin - Mambo 6 ala Perez	Jazz	Jazz	Latin
L_MAMBOJ	4/4	ev16	90	Mambo - Jazz (Salsa)	Jazz	Jazz	Latin,Latin
L_MERENG	4/4	ev16	120	Merengue (Salsa)	Latin	Jazz	Latin
L_MONTUN	4/4	ev8	145	50's Son-Montuno (Salsa)	Latin	Jazz	Latin
LONDON	4/4	ev16	115	London - Medium UK Pop Rock	Lite Pop	Pop	Pop
Londoner	4/4	sw16	105	Londoner - Brit 80s Rock & Jazz	Jazz	Jazz	Fusion
Los+	4/4	sw16	100	Funky Country Rock+	Country	Country	Country Contemporary
LosLob1	4/4	ev8	165	LosLob1 - Funky Mexi-Rock Blues Feel	Blues	Pop	Funk,Latin
Lotus2	4/4	ev16	90	Lotus2 - 4/4 Oriental New Age	Lite Pop	Pop	New Age,World
L_PARTID	4/4	ev8	185	Partido Alto (Brazilian)	Jazz	Jazz	Latin
L!PERRO	4/4	ev8	220	Latin - Perro - Pop Rhumba	Jazz	Jazz	Jazz
L_RIO	4/4	ev8	170	Rio - Smooth Samba (Brazilian)	Jazz	Jazz	Latin,Latin,Samba,Smooth Jazz
L~Rumba3	4/4	ev8	110	Latin Rhumba w/ Brushes and Congas	Jazz	Jazz	Latin
L_Rumba3	4/4	ev8	110	Latin Rhumba w/ Congas	Jazz	Jazz	Latin
L_SALSA	4/4	ev8	240	Salsa, Latin Samba	Latin	Jazz	Samba
L_SAMBA2	4/4	ev8	185	Samba in 2-3 Clave (Brazilian)	Latin	Jazz	Samba
L~SERENA	4/4	ev16	100	Serena - Pop Latin Jazz, 16ths Rock-Samba	Jazz	Jazz	Latin,Lite Pop,Latin,Samba
L_SONCHA	4/4	ev8	135	Son Cha Cha (Salsa)	Latin	Jazz	Latin
L_SONGO	4/4	ev16	105	Songo (Salsa)	Latin	Jazz	Latin
LstDogs1	4/4	ev8	110	Lost Dogs 1 - Med-Slow Ev.8 Pop-Folk	Country	Country	Country Contemporary,Folk,Folk
L_TITO	4/4	ev16	115	Tito-Mambo (Salsa)	Latin	Jazz	Latin
LTNBRAZL	4/4	ev8	245	Brazil - Cut Time Samba	Latin	Jazz	Samba
LUIPRIMA	4/4	sw8	180	Lui Prima Style	Jazz	Jazz	Jazz Swing
LUSHUS	4/4	ev16	110	Lushus - Smooth Jazz	Funk	Jazz	Jazz,Smooth Jazz,Jazz,Smooth Jazz
Luther1	4/4	ev8	235	Luther1 - Fast Even 8th Country 2-Beat	Country	Country	Country Classic
L_VOCE	4/4	ev16	110	Latin Voce - Brazil Pop Bossa	Jazz	Jazz	Latin,Lite Pop,Bossa
Lynyrd1	4/4	ev8	125	Lynyrd1 - Bright Southern Stadium Rock	Pop	Pop	Pop
Lynyrd2	4/4	ev8	125	Lynyrd2 - Fast Rockin' Southern Style	Pop	Pop	Pop
Lynyrd3	4/4	ev16	91	Lynyrd3 - Classic Southern Rock-Jam	Pop	Pop	Pop
MACY1	4/4	sw16	90	Macy 1 - Funky Party R&B	Funk	Pop	R&B,R&B,Soul
Madona_M	4/4	ev8	140	Madona_M Euro-Tek	Modern Pop	Pop	Modern Pop
MainSt	4/4	ev8	135	Main Street - Classic Country Rock	Country	Country	Country Classic
Majesty1	4/4	ev16	90	Majesty1 - Majestic Soundtrack Music Style	Lite Pop	Pop	New Age
Malibu	4/4	ev8	125	Malibu - Summer Pop Rock - Ev.8ths	Lite Pop	Pop	Lite Pop
MAMBO	4/4	ev16	120	Mambo Style	Latin	Jazz	Latin
Mambo7	4/4	ev8	210	Mambo7 - Ev.8 Latin Mambo Dance	Latin	Jazz	Latin
MamboSal	4/4	ev8	185	Mambo Salsa - Latin Cuban Mambo	Latin	Jazz	Latin
MambSal	4/4	ev8	235	Mambo Salsa - Classic Cuban	Latin	Jazz	Salsa
MARCH_12	12/8	sw8	120	March 12/8 Style	Classical	Country	World,March
MARCH_16	4/4	ev16	120	March 16 Style	Classical	Country	World,March
Marcus51	4/4	sw16	100	Marcus 5 to 1 (Fusion)	Funk	Jazz	Jazz,Fusion,Fusion,Jazz
MarcusM	4/4	sw16	120	Marcus M (Fusion)	Funk	Jazz	Jazz,Fusion,Fusion,Jazz
MARIACHI	4/4	sw8	200	Mariachi - Pop Mexican Style	Latin	Jazz	Latin
MARIAH1	4/4	ev16	95	Mariah 1 - Pop 16th R&B Dance Feel	Funk	Pop	Hip Hop,R&B,Modern Pop,Pop,R&B,Soul
Marimba	4/4	ev16	108	Marimba - LA Pop Jazz	Jazz	Jazz	Fusion,Latin
MARLEY1	4/4	sw8	105	Marley1 - Reggae	Reggae	Pop	Reggae
MAYTAL1	4/4	sw8	140	Maytal1 - Lazy Swing Ska Style	Latin	Pop	Reggae,Ska
MazelTov	4/4	sw16	250	MazelTov - Klezmer 2-Beat	World	Pop	Klezmer
McCoy2	4/4	sw8	210	McCoy2 - Post Bop Jazz Style	Jazz	Jazz	Bebop
McCoy3	4/4	sw8	170	McCoy3 - Post Bop Jazz Style	Jazz	Jazz	Bebop
McCoy4	4/4	sw8	197	McCoy4 - Post Bop Jazz Style	Jazz	Jazz	Bebop
MDON_LAT	4/4	ev16	98	Madona Latin - Top 40 Pop Latin	Latin	Pop	Lite Pop
MEDROCK2	4/4	ev8	155	Medium Rock 2	Heavy Rock	Pop	Pop
Melisa2	4/4	ev16	75	Melisa2 - Ev.16 Folk-Rock	Folk	Pop	Pop,Lite Pop
MEMORIES	12/8	sw8	65	Slow Pop Rock Triplet Style	Lite Pop	Pop	Lite Pop
MERENGE2	4/4	ev16	120	Merengue 2 - Latin Dance Style	Latin	Jazz	Latin
MERENGUE	4/4	ev16	115	Merengue Style	Latin	Jazz	Latin
MerFast	4/4	ev16	135	Merengue Fast - Modern Dominican	Latin	Jazz	Salsa
MerSlow	4/4	ev16	115	Merengue Slow - Modern	Latin	Jazz	Salsa
MerTip	4/4	ev16	130	Merengue Tipico - Dominican	Latin	Jazz	Salsa
METAL1	4/4	ev8	130	Heavy Metal #1	Heavy Rock	Pop	Heavy Rock
Meth8081	4/4	ev16	120	Meth 80/81 (Fusion)	Jazz	Jazz	Fusion,Fusion
MEXICAN2	4/4	ev8	120	Mexican Light Rock 2	Latin	Jazz	Lite Pop
MGRUDERS	4/4	ev16	75	Mgruders - Slow Straight 16 Southern Gospel	Country	Country	Gospel,Worship,Lite Pop,Lite Pop,Gospel
MICHEL1	4/4	ev16	80	Michel 1 - Slow Pop Orchestral	Jazz	Jazz	Jazz Ballad,Lite Pop
MIDEAST2	4/4	ev16	125	MidEast2 - World Styles 2	World	Pop	World
Mildred	4/4	sw8	115	Mildred - Sw/ 8 20's Blues	Blues	Pop	Jazz,Jazz Swing,Jazz
MilesFnk	4/4	sw16	80	Miles Slow Funk (Fusion)	Funk	Jazz	Jazz,Jazz Ballad,Fusion,Fusion,Jazz
MilesRok	4/4	sw16	85	Miles Rock (Fusion)	Funk	Jazz	Jazz,Fusion,Fusion,Jazz
MILITARY	4/4	sw8	160	Military - 60s Pop-Country	Country	Country	Country Classic
Mind1	4/4	ev8	190	Mind1 - World Beat New Age	Lite Pop	Pop	New Age,World
MINISTRY	4/4	sw8	95	Ministry - Praise & Worship Style	Folk	Pop	Worship,Lite Pop,Lite Pop,Worship,Lite Pop
MissJH1	4/4	ev8	180	Miss-JH1 - Ev.8 Country Blues	Blues	Pop	Country,Country Classic
ModCmbia	4/4	ev16	110	Modern Cumbia - Columbian Latin Dance	Latin	Jazz	Latin
Modern+	4/4	ev8	130	Country Soft Ballad +	Country	Country	Country Ballad,Country Contemporary
ModJazQt	4/4	sw8	140	ModJazQt - Jazz Quartet Swing	Jazz	Jazz	Jazz Swing
MODJAZZ1	4/4	ev16	120	Modern Jazz #1	Jazz	Jazz	Fusion
MODJAZZ2	4/4	ev16	100	Modern Jazz #2	Funk	Jazz	Jazz,Fusion
MODROK1	4/4	ev8	140	Modern Rock 1 - Ev. 8ths Rock	Heavy Rock	Pop	Heavy Rock
MODROK2	4/4	ev16	90	Modern Rock 2 Style	Funk	Pop	Heavy Rock
MOJO2	4/4	sw8	230	Mojo 2 - Fast 24-bar Chicago Blues	Blues	Jazz	Blues
MOJO24BR	4/4	sw8	240	Mojo 24 Bar Fast Blues	Blues	Pop	Blues
Mongo1	4/4	sw8	155	Mongo1 - Funky 60s Pop Groove	Country	Country	Country Classic,Folk
MongSant	4/4	ev8	120	MongSant - Ev.8 Jazz - Trio & Quintet	Blues	Jazz	Funk,Jazz,Fusion
Montego	4/4	ev8	120	Montego - LA Pop Jazz	Jazz	Jazz	Fusion,Pop
Montuna1	4/4	ev8	170	Montuna1 - Pop Latin Montuna	Jazz	Jazz	Latin,Lite Pop
MORNING	4/4	ev16	105	Morning - Praise & Worship Style	Latin	Pop	Worship,Lite Pop,Pop,Lite Pop,Worship,Lite Pop
MOSHU	4/4	ev16	100	Moshu - Smooth Jazz	Jazz	Jazz	Smooth Jazz,Smooth Jazz
MOTOWN_1	4/4	sw8	170	Motown Style	Funk	Pop	R&B,Lite Pop
Mountain	4/4	ev16	140	Mountain - Unplugged	Country	Country	Bluegrass,Folk,World
Mountn_D	4/4	ev16	140	Mountain w/ Drums - Unplugged	Country	Country	Bluegrass,Folk,World
MOVIN	4/4	sw8	165	Movin -  Uptempo Jazz Quintet	Jazz	Jazz	Bebop,Jazz Swing
MOZART	4/4	ev8	120	Mozart Classical Style	Classical	Country	Classical
MozCuba	4/4	ev16	118	Mozambique Cuban - Modern Salsa	Latin	Jazz	Salsa
MozNYC	4/4	ev16	118	Mozambique NYC Modern Salsa	Latin	Jazz	Salsa
MOZORK44	4/4	ev8	150	Mozart Orchestral 4/4	Classical	Country	Classical
MUDYSLOW	12/8	sw8	65	Mudy Slow Blues	Blues	Pop	Blues
MYRIAD	4/4	ev16	85	Myriad - Smooth Jazz - World Beat	Jazz	Jazz	Smooth Jazz,World,Smooth Jazz
NASHVL_G	4/4	sw8	80	Nashville G	Country	Country	Country Ballad,Country Contemporary
Nat_Pop1	4/4	sw8	165	Nat_Pop1 - Bouncy Pop Swing	Jazz	Jazz	Jazz Swing,Pop
NEAL	4/4	ev16	80	Neal - Even 16ths Acoustic Country Rock	Country	Country	Country Ballad,Country Contemporary,Folk,Lite Pop
NEWAGE_1	4/4	ev16	95	New Age 1	Country	Country	Country Contemporary,New Age,Lite Pop,Pop,Lite Pop
NEWAGE_2	4/4	ev16	120	New Age 2	Country	Country	Country Contemporary,New Age,Lite Pop,Pop,Lite Pop
NewJazz1	4/4	sw8	105	New Jazz 1 - Medium 4/4 Swing	Jazz	Jazz	Jazz
NewPort	4/4	ev16	64	Newport - LA Pop Jazz	Jazz	Jazz	Jazz Ballad,Fusion,Pop,Lite Pop
NewSalsa	4/4	ev16	100	New Salsa - Latin Caribbean Salsa	Latin	Jazz	Tropical
NewShuf	4/4	sw8	140	New Shuffle - Med-Uptempo Swing 8 Shuffle	Jazz	Jazz	Jazz Swing
NEWSOUTH	4/4	sw8	120	New South - Swing 8ths Country Bluegrass	Country	Country	Bluegrass,Country Classic
NGR	4/4	sw16	120	NGR - Unplugged	Country	Country	Bluegrass,Country Contemporary
NGR_D	4/4	sw16	120	NGR w/ Drums - Unplugged	Country	Country	Bluegrass,Country Contemporary
Nitefall	4/4	sw8	110	Nitefall - Easy Jazz Swing ala Riddle	Jazz	Jazz	Jazz Swing
NITELIFE	4/4	ev8	100	Nite Life - Pop Rock Straight 8ths	Lite Pop	Pop	Pop
Nocturne	4/4	ev8	115	Nocturne - Brit 80s - Ev.8	Lite Pop	Pop	Lite Pop
NOENDING	4/4	ev8	115	MIDI Style w/ No Ending	Jazz	Jazz	Jazz
NR_BUKY+	4/4	ev8	126	Bucky Nashville Rock +	Country	Country	Country Contemporary
NR_CRAG+	4/4	sw16	86	CRAG Nashville Rock +	Country	Country	Country Ballad,Country Contemporary
NR_CURR+	4/4	ev16	84	CURR Nashville Rock +	Country	Country	Country Ballad,Country Contemporary,R&B
NR_DIRK+	4/4	ev8	174	DIRK Train-Beat Nashville Rock +	Country	Country	Country Contemporary,Country Contemporary
NR_DUNN+	4/4	ev16	68	DUNN Ballad Nashville Rock +	Country	Country	Country Ballad,Country Contemporary
NR_GENT+	4/4	ev16	70	GENT Nashville Rock +	Country	Country	Country Ballad,Country Contemporary
NR_GRET+	4/4	ev16	76	GRET Shuffle Nashville Rock +	Country	Country	Country Ballad,Country Contemporary
NR_HILL+	4/4	ev16	120	HILL Nashville Rock +	Country	Country	Country Contemporary
