Name	Time signature	Feel	Default tempo	Long name	Genre	Group	Other genres
ELVIS1	4/4	sw8	170	Elvis1 - 50s Rock Shuffle-Blues	Blues	Pop	Blues
ElvisBig	4/4	ev8	85	ElvisBig - Slow Even 8th Light Rock	Lite Pop	Pop	Lite Pop
Enrique	4/4	ev16	100	Enrique - Top 40 Latin-Samba	Latin	Pop	Lite Pop,Samba
Enya44	4/4	ev16	85	Enya44 - Soft Ev.16 Techno Orchestral	Lite Pop	Pop	New Age,Modern Pop,Modern Pop
Eternal	4/4	ev16	115	Eternal - Mystical 4/4 New Age	Lite Pop	Pop	New Age
ETH_FAST	4/4	ev8	250	Ethnic Fast 2Bt - World Styles 2	World	Country	World
Euphoric	4/4	ev16	115	Euphoric - Techno-Folk Style	Folk	Pop	Folk
EUROBEA3	4/4	ev8	120	Eurobeat 3 Style	Modern Pop	Pop	Modern Pop
Evening	4/4	ev16	97	Evening - Ev.16 Brit 80s Rock	Lite Pop	Pop	New Age
Even_Sw	4/4	sw8	250	Even & Swing - Fast Jazz Latin & Swing	Jazz	Jazz	Bebop,Jazz Swing,Latin
Everyone	4/4	ev8	125	Everyone - Brit 80s Ev.8ths Rock	Lite Pop	Pop	Lite Pop
Excite1	4/4	ev8	170	Excite1 - Energetic Soundtrack Style	Lite Pop	Pop	New Age,Heavy Rock,Pop
EXODUS	4/4	ev8	125	Exodus - UK Pop Ska/Reggae	Reggae	Pop	Pop,Ska
FAIRLANA	4/4	sw16	106	Fair Lana - Smooth Jazz	Funk	Jazz	Jazz,Smooth Jazz,Jazz,Smooth Jazz
FAITH	4/4	ev16	120	Faith - Praise & Worship Style	Blues	Pop	Country,Gospel,Funk,Worship,Lite Pop,Worship,Lite Pop
FarAway	4/4	sw8	140	Far Away - Jazz/Pop Vocal Big Band	Jazz	Jazz	Big Band,Jazz Swing
Fast8Rok	4/4	ev8	130	Fast 8ths Rock - Ev.8 Brit 80s Fast Rock	Heavy Rock	Pop	Heavy Rock
